key,keydown_time,keyup_time,dwell_time,flight_time,is_correction
caps_lock,1744668288854.158,1744668289026.8516,172.693603515625,0,0
e,1744668289539.2588,1744668289670.6963,131.4375,512.4072265625,0
caps_lock,1744668289781.026,1744668289970.2737,189.247802734375,110.32958984375,0
l,1744668290010.3481,1744668290196.7542,186.406005859375,40.074462890625,0
e,1744668290162.6985,1744668290274.248,111.549560546875,0,0
n,1744668290422.7014,1744668290593.7637,171.062255859375,148.453369140625,0
a,1744668290596.857,1744668290744.8123,147.955322265625,3.09326171875,0
",",1744668291003.9355,1744668291189.5588,185.623291015625,259.123291015625,0
space,1744668291295.6814,1744668291437.456,141.774658203125,106.12255859375,0
a,1744668291440.489,1744668291559.742,119.2529296875,3.032958984375,0
space,1744668291580.0947,1744668291694.1104,114.015625,20.352783203125,0
6,1744668292159.9595,1744668292333.3328,173.373291015625,465.84912109375,0
1,1744668292605.7664,1744668292789.4712,183.704833984375,272.43359375,0
space,1744668293139.6125,1744668293272.0076,132.39501953125,350.141357421875,0
y,1744668293361.8398,1744668293514.2815,152.441650390625,89.832275390625,0
e,1744668293677.947,1744668293830.7085,152.761474609375,163.66552734375,0
a,1744668293833.6235,1744668293965.9067,132.283203125,2.9150390625,0
r,1744668293930.3118,1744668294138.834,208.522216796875,0,0
space,1744668294141.734,1744668294309.6355,167.901611328125,2.89990234375,0
o,1744668294387.7354,1744668294496.933,109.19775390625,78.099853515625,0
l,1744668294642.6848,1744668294838.066,195.381103515625,145.751708984375,0
d,1744668294875.0774,1744668294987.0627,111.9853515625,37.011474609375,0
space,1744668294946.4534,1744668295101.1033,154.64990234375,0,0
f,1744668295793.3984,1744668295922.8699,129.471435546875,692.295166015625,0
o,1744668295926.3535,1744668296094.0288,167.67529296875,3.483642578125,0
r,1744668296060.203,1744668296227.5461,167.34326171875,0,0
m,1744668296246.5718,1744668296382.675,136.103271484375,19.025634765625,0
e,1744668296398.8025,1744668296536.7222,137.919677734375,16.12744140625,0
r,1744668296462.9814,1744668296611.7915,148.81005859375,0,0
space,1744668296558.2766,1744668296689.189,130.912353515625,0,0
s,1744668296762.126,1744668296877.377,115.2509765625,72.93701171875,0
c,1744668297004.839,1744668297139.1636,134.324462890625,127.462158203125,0
u,1744668297287.8567,1744668297398.2249,110.3681640625,148.693115234375,0
l,1744668297657.1638,1744668297824.29,167.126220703125,258.93896484375,0
p,1744668298059.933,1744668298212.1814,152.248291015625,235.64306640625,0
t,1744668298249.15,1744668298364.9653,115.8154296875,36.968505859375,0
o,1744668298437.8147,1744668298590.037,152.222412109375,72.849365234375,0
r,1744668298593.6458,1744668298722.1628,128.51708984375,3.608642578125,0
",",1744668298927.486,1744668299096.2083,168.72216796875,205.3232421875,0
space,1744668299205.574,1744668299339.2087,133.634765625,109.36572265625,0
i,1744668299573.5825,1744668299745.1138,171.53125,234.373779296875,0
s,1744668299911.9026,1744668300100.447,188.54443359375,166.788818359375,0
space,1744668300065.7048,1744668300236.9148,171.2099609375,0,0
a,1744668300649.47,1744668300858.7725,209.302490234375,412.55517578125,0
s,1744668300824.7725,1744668300955.2996,130.527099609375,0,0
k,1744668301087.0515,1744668301238.099,151.047607421875,131.751953125,0
e,1744668301240.0977,1744668301352.6394,112.541748046875,1.99853515625,0
d,1744668301532.0813,1744668301706.1604,174.0791015625,179.44189453125,0
space,1744668301674.5898,1744668301780.229,105.63916015625,0,0
t,1744668302091.663,1744668302222.5012,130.838134765625,311.43408203125,0
o,1744668302281.1194,1744668302420.2778,139.158447265625,58.6181640625,0
space,1744668302758.9766,1744668302912.9985,154.02197265625,338.69873046875,0
a,1744668302916.5217,1744668303009.6677,93.14599609375,3.523193359375,0
t,1744668303211.706,1744668303286.2368,74.53076171875,202.038330078125,0
t,1744668303397.566,1744668303507.929,110.363037109375,111.3291015625,0
e,1744668303454.711,1744668303603.125,148.4140625,0,0
n,1744668303663.3352,1744668303813.9697,150.634521484375,60.210205078125,0
d,1744668303830.1257,1744668303944.2302,114.1044921875,16.156005859375,0
space,1744668304233.5789,1744668304405.2327,171.65380859375,289.3486328125,0
a,1744668304428.6726,1744668304560.5168,131.84423828125,23.43994140625,0
space,1744668304562.561,1744668304692.2734,129.71240234375,2.044189453125,0
n,1744668305943.3867,1744668306095.5732,152.1865234375,1251.11328125,0
e,1744668306061.783,1744668306213.206,151.423095703125,0,0
u,1744668306288.1008,1744668306419.454,131.353271484375,74.894775390625,0
r,1744668306494.1917,1744668306623.4915,129.2998046875,74.737548828125,0
o,1744668306664.3271,1744668306832.9817,168.654541015625,40.835693359375,0
p,1744668307038.6868,1744668307190.3726,151.685791015625,205.705078125,0
s,1744668307153.8757,1744668307266.288,112.412353515625,0,0
y,1744668307413.579,1744668307543.1938,129.61474609375,147.291015625,0
c,1744668307818.7314,1744668307988.2285,169.4970703125,275.53759765625,0
h,1744668308137.3633,1744668308286.367,149.003662109375,149.134765625,0
o,1744668308322.5093,1744668308438.7556,116.246337890625,36.142333984375,0
l,1744668308537.8816,1744668308664.8008,126.919189453125,99.1259765625,0
o,1744668308755.8,1744668308907.8376,152.03759765625,90.999267578125,0
g,1744668308871.4578,1744668308985.2793,113.821533203125,0,0
i,1744668309042.5955,1744668309174.9949,132.3994140625,57.316162109375,0
s,1744668309191.3494,1744668309306.3796,115.0302734375,16.3544921875,0
t,1744668309378.4497,1744668309512.7324,134.28271484375,72.070068359375,0
space,1744668309477.954,1744668309609.5085,131.554443359375,0,0
a,1744668309646.9324,1744668309799.2703,152.337890625,37.423828125,0
f,1744668309857.9653,1744668310014.596,156.630615234375,58.695068359375,0
t,1744668310138.9216,1744668310306.1274,167.205810546875,124.32568359375,0
e,1744668310345.8372,1744668310478.9717,133.134521484375,39.709716796875,0
r,1744668310437.3164,1744668310611.6912,174.374755859375,0,0
space,1744668310573.2327,1744668310687.4421,114.20947265625,0,0
s,1744668310724.8777,1744668310881.7236,156.845947265625,37.435546875,0
h,1744668310972.76,1744668311106.2876,133.527587890625,91.036376953125,0
e,1744668311109.2107,1744668311257.8167,148.60595703125,2.923095703125,0
space,1744668311220.0608,1744668311353.5771,133.516357421875,0,0
h,1744668311449.1768,1744668311579.8013,130.62451171875,95.599609375,0
a,1744668311544.927,1744668311694.3616,149.4345703125,0,0
d,1744668311752.3,1744668311942.5232,190.22314453125,57.9384765625,0
space,1744668311905.2346,1744668312003.225,97.990478515625,0,0
a,1744668312004.866,1744668312116.3423,111.476318359375,1.640869140625,0
space,1744668312136.581,1744668312266.627,130.0458984375,20.23876953125,0
s,1744668312213.6196,1744668312342.8494,129.229736328125,0,0
t,1744668312564.194,1744668312752.8801,188.68603515625,221.3447265625,0
r,1744668312755.359,1744668312885.5034,130.14453125,2.478759765625,0
o,1744668312979.9138,1744668313147.9246,168.0107421875,94.410400390625,0
k,1744668313190.6587,1744668313396.1614,205.502685546875,42.734130859375,0
backspace,1744668314643.094,1744668314760.942,117.847900390625,1246.9326171875,1
backspace,1744668314904.748,1744668315001.4622,96.714111328125,143.80615234375,1
o,1744668315531.4375,1744668315661.5156,130.078125,529.975341796875,0
k,1744668315756.485,1744668315904.4316,147.946533203125,94.969482421875,0
e,1744668315870.527,1744668315999.638,129.11083984375,0,0
space,1744668315965.2322,1744668316115.57,150.337890625,0,0
a,1744668316320.561,1744668316446.7532,126.192138671875,204.990966796875,0
f,1744668316520.0835,1744668316597.3694,77.285888671875,73.330322265625,0
f,1744668316693.717,1744668316824.1323,130.415283203125,96.34765625,0
e,1744668316788.9375,1744668316938.595,149.657470703125,0,0
c,1744668316975.7517,1744668317093.218,117.46630859375,37.15673828125,0
t,1744668317259.2559,1744668317426.525,167.26904296875,166.037841796875,0
i,1744668317737.9778,1744668317888.0425,150.064697265625,311.452880859375,0
n,1744668317946.846,1744668318096.434,149.588134765625,58.803466796875,0
g,1744668318062.4277,1744668318191.515,129.087158203125,0,0
space,1744668318120.8093,1744668318269.8008,148.991455078125,0,0
h,1744668318490.5125,1744668318640.9106,150.398193359375,220.711669921875,0
e,1744668318620.5742,1744668318719.5713,98.9970703125,0,0
r,1744668318681.405,1744668318852.0493,170.644287109375,0,0
space,1744668318811.96,1744668318925.8044,113.844482421875,0,0
r,1744668319635.7861,1744668319785.8987,150.112548828125,709.981689453125,0
i,1744668319843.8616,1744668319973.4429,129.581298828125,57.962890625,0
g,1744668320194.3608,1744668320386.535,192.174072265625,220.91796875,0
h,1744668320388.87,1744668320540.4097,151.53955078125,2.335205078125,0
t,1744668320560.9895,1744668320748.7915,187.802001953125,20.579833984375,0
space,1744668320714.4346,1744668320805.105,90.67041015625,0,0
p,1744668320969.6045,1744668321104.6462,135.041748046875,164.49951171875,0
o,1744668321212.17,1744668321364.4321,152.26220703125,107.523681640625,0
s,1744668321330.125,1744668321465.8113,135.686279296875,0,0
t,1744668321507.9573,1744668321635.6316,127.67431640625,42.14599609375,0
e,1744668321655.7427,1744668321786.239,130.496337890625,20.111083984375,0
r,1744668321752.5415,1744668321880.439,127.8974609375,0,0
i,1744668321935.5332,1744668322052.2117,116.678466796875,55.09423828125,0
o,1744668322146.3157,1744668322296.7256,150.409912109375,94.10400390625,0
