key|dwell|flight
E|128|0
m|133|77
m|121|85
y|132|89
{Space}|126|74
L|131|98
o|92|85
u|103|160
{Space}|139|108
H|124|87
a|120|93
q|149|87
r|98|5
r|114|79
i|112|5
{Backspace}|83|84
{Backspace}|83|75
{Backspace}|83|111
{Backspace}|83|78
r|110|66
r|80|85
i|112|5
s|101|83
{Space}|172|78
i|118|108
n|112|88
t|138|5
r|151|82
o|75|88
d|55|61
u|54|96
c|99|89
e|47|102
d|103|105
{Space}|131|105
m|113|68
e|113|5
{Space}|136|86
t|142|82
o|78|14
{Space}|147|85
t|104|97
h|104|5
e|116|5
{Space}|113|81
w|82|85
o|80|130
r|117|19
k|123|20
{Space}|115|98
o|126|95
f|91|5
{Space}|123|96
t|133|77
h|113|20
e|73|5
{Space}|101|87
V|137|96
i|121|79
e|91|19
t|68|5
n|135|85
a|99|83
m|116|10
{Space}|115|77
V|150|91
e|118|98
t|132|5
e|81|67
r|103|5
a|80|5
n|121|46
s|91|89
{Space}|119|103
o|114|90
f|86|5
{Space}|144|90
A|99|79
m|118|85
e|92|5
r|73|8
i|107|5
c|94|98
a|101|100
{Space}|125|107
f|82|99
o|105|8
u|75|147
n|100|43
d|90|5
a|107|98
t|111|5
i|99|28
o|116|88
n|122|109
{Space}|127|92
a|116|88
n|98|57
d|53|5
{Space}|134|75
t|108|98
h|94|22
e|93|5
{Space}|140|113
C|152|103
a|108|89
m|108|10
p|105|85
a|107|106
i|126|5
g|105|83
n|113|100
{Space}|137|95
f|91|83
o|91|8
r|116|6
{Space}|131|90
a|89|59
{Space}|127|86
L|122|81
a|125|92
n|116|48
d|111|5
{Space}|139|73
M|148|86
i|106|83
n|124|9
e|132|48
{Space}|118|68
F|116|66
r|170|106
e|108|5
e|159|80
{Space}|126|103
W|122|90
o|130|94
r|102|6
l|128|102
d|63|111
.|93|93
